Qty;Value;Device;Package;Parts;Description;Qty to buy;Distributor
5;;DIODE-SOD323-R;SOD323-R;D1, D2, D3, D6, D7;DIODE;;
1;;DIODE-SOD523;SOD523;D9;DIODE;;
1;;DUOLED-RG-A;DUOLED-A-5MM;LD1;DUO LED;;
1;;LEDCHIP-LED0805;CHIP-LED0805;LED1;LED;;
2;;M08LONGPADS;1X08_LONGPADS;JP1, JP2;Header 8;;
2;;MA03-1;MA03-1;SV4, SV5;PIN HEADER;;
1;;MA05-1;MA05-1;SV1;PIN HEADER;;
1;;MSTBV2;MSTBV2;BATT;PHOENIX;;
1;;SMDTOP-12;SMDTOP12;TOIT;AMP connector;;
3;;SMDTOP-6;SMDTOP6;X1, X4, X5;AMP connector;;
1;;SMDTOP-8;SMDTOP8;PNEUMATIC;AMP connector;;
1;;STM32F301C8;TQFP48;U$1;;;
2;100n;C-USC0805;C0805;C11, C12;CAPACITOR, American symbol;;
6;100nF;C-EUC0805;C0805;C4, C5, C6, C7, C15, C16;CAPACITOR, European symbol;;
1;10K;R-US_R0805;R0805;R18;RESISTOR, American symbol;;
3;10k;R-US_R0805;R0805;R6, R7, R19;RESISTOR, American symbol;;
1;10nF;C-EUC0805;C0805;C14;CAPACITOR, European symbol;;
3;10uF;C-EUC0805;C0805;C1, C2, C8;CAPACITOR, European symbol;;
1;130K;R-US_R0805;R0805;R13;RESISTOR, American symbol;;
1;13K;R-US_R0805;R0805;R12;RESISTOR, American symbol;;
2;1K;R-US_R0805;R0805;R14, R15;RESISTOR, American symbol;;
1;1uF;C-EUC0805;C0805;C3;CAPACITOR, European symbol;;
3;2.2K;R-US_R0805;R0805;R16, R17, R20;RESISTOR, American symbol;;
1;2.2k;R-US_R0805;R0805;R1;RESISTOR, American symbol;;
2;220uF;CPOL-USE2.5-7;E2,5-7;C9, C10;POLARIZED CAPACITOR, American symbol;;
1;22K;R-US_R0805;R0805;R9;RESISTOR, American symbol;;
1;360R;R-US_R0805;R0805;R8;RESISTOR, American symbol;;
1;4.7uF;C-EUC0805;C0805;C13;CAPACITOR, European symbol;;
3;470;R-US_R0805;R0805;R2, R3, R4;RESISTOR, American symbol;;
1;470 ohm;R-US_R0805;R0805;R5;RESISTOR, American symbol;;
1;47K;R-US_R0805;R0805;R10;RESISTOR, American symbol;;
1;51K;R-US_R0805;R0805;R11;RESISTOR, American symbol;;
2;5267-3;5267-3;5267-3;AX12, AX12-2;;;
1;BC847;BC847;SOT23;T1;NPN TRANSISTOR;;
1;LM293AD;LM293AD;SOIC127P600X175-8N;U8;DUAL DIFFERENTIAL COMPARATORS;;
1;REGUL_PTH;REGUL_PTH;REGUL_PTH;U$2;"adjustable voltage regulator pth08080w""";;
1;SWD/JTAG-_PINS;SWD/JTAG-_PINS;SAMTEC_SHF-105-01-L-D-SM;U$3;;;
8;TSM2306CX;TSM2306CX;SOT95P280X130-3N;U1, U2, U3, U4, U5, U6, U7, U9;30V N-Channel MOSFET;;
1;VREG-TS1117CW-3V3;VREG-TS1117CW-3V3;SOT223;IC1;Voltage Regulators (LDOs, Switching Converters...);;